Nombre,Categoria,Calorias,Proteinas,Carbohidratos
Scrambled Eggs (2 large),Protein/Dairy,180,12.0,2.0
Whole Wheat Toast (1 slice),Grain,80,4.0,14.0
Coffee (black),Beverage,5,0.3,0.0
Banana,Fruit,105,1.3,27.0
Grilled Chicken Salad,Meal/Protein,350,30.0,10.0
Apple,Fruit,95,0.5,25.0
Salmon (4oz grilled),Protein/Fish,230,25.0,0.0
Quinoa (1 cup cooked),Grain,222,8.0,39.0
Steamed Broccoli (1 cup),Vegetable,55,3.7,11.2
Greek Yogurt (plain 1 cup),Dairy,150,25.0,8.0
Oatmeal (1 cup cooked),Grain,160,6.0,28.0
Blueberries (1/2 cup),Fruit,42,0.5,11.0
Almonds (1 oz),Nut,164,6.0,6.0
Turkey Sandwich (on wheat),Meal/Processed,340,22.0,34.0
Carrot Sticks (1 cup),Vegetable,52,1.2,12.3
Spaghetti Bolognese,Meal/Pasta,460,20.0,55.0
Side Salad (light dressing),Vegetable,70,2.0,8.0
Protein Shake (Whey),Supplement,120,24.0,3.0
Cereal (Frosted Flakes 1 cup),Grain/Processed,130,2.0,31.0
Lentil Soup (1 can),Meal/Legume,230,15.0,35.0
White Rice (1 cup cooked),Grain,204,4.2,44.5
Tofu Stir-fry,Meal/Vegetarian,400,18.0,30.0
Orange,Fruit,62,1.2,15.4
Bagel (plain),Grain,270,11.0,55.0
Cream Cheese (2 tbsp),Dairy,100,2.0,2.0
Tuna Salad (1/2 cup),Meal/Fish,190,19.0,2.0
Crackers (5 whole wheat),Grain/Processed,90,2.0,14.0
Beef Steak (6oz sirloin),Protein/Meat,270,42.0,0.0
Baked Potato (medium),Vegetable,160,4.3,36.0
Ice Cream (1/2 cup vanilla),Dairy/Dessert,145,2.5,17.0
Pizza (1 slice pepperoni),Meal/Processed,290,12.0,34.0
Avocado Toast (1 slice),Meal/Vegetarian,260,7.0,28.0
Hard-Boiled Egg (1 large),Protein,78,6.3,0.6
Chicken Wrap (with tortilla),Meal/Processed,410,25.0,38.0
Grapes (1 cup),Fruit,104,1.1,27.0
Cottage Cheese (1/2 cup),Dairy,90,12.0,5.0
Burger (cheeseburger),Meal/Processed,550,30.0,40.0
French Fries (medium),Vegetable/Processed,340,4.0,44.0
Protein Bar,Supplement/Processed,210,20.0,22.0
Black Beans (1/2 cup),Legume,114,7.6,20.4
Salsa (1/4 cup),Vegetable,20,0.8,4.5
Chicken Noodle Soup (1 can),Meal/Processed,150,7.0,18.0
Peanut Butter (2 tbsp),Nut,190,7.0,8.0
Celery Sticks (1 cup),Vegetable,14,0.6,3.0
Cod (4oz baked),Protein/Fish,95,20.0,0.0
Green Beans (1 cup),Vegetable,31,1.8,7.0
Chocolate Chip Cookie (1 large),Dessert,220,2.5,30.0
Shrimp (3oz steamed),Protein/Fish,84,20.0,0.2
Pancakes (2 medium),Grain,180,5.0,30.0
Maple Syrup (2 tbsp),Condiment,104,0.0,27.0
Sausage Link (1 cooked),Protein/Meat,85,5.0,1.0
Smoothie (Fruit & Yogurt),Beverage/Meal,280,12.0,55.0
Tofu (4oz firm),Protein/Vegetarian,90,10.0,3.0
Brown Rice (1 cup cooked),Grain,215,5.0,45.0
Bell Pepper (1 medium red),Vegetable,31,1.2,6.0
Hummus (2 tbsp),Legume,70,2.0,4.0
Pita Bread (1 whole wheat),Grain,170,6.0,35.0
Pork Chop (4oz grilled),Protein/Meat,220,30.0,0.0
Mashed Potatoes (1 cup),Vegetable,230,4.0,35.0
Corn (1 cup),Vegetable,132,4.7,30.0
